pit: pitting pit pitted
tell: told telling tell
stuff: stuffed stuffing stuff
forget: forgotten forgot forget
load: loaded load loading
bond: bonded bond bonding
dog: dogs dog dogged
cap: cap capping capped
blink: blinks blink blinking
disturb: disturb disturbing disturbed
chill: chill chilled chilling
favor: favored favoring favor
band: band banded banding
unveil: unveiling unveiled unveil
convince: convinced convincing convince
keel: keeling keel keeled
channel: channeled channeling channel
smoke: smoking smoked smoke
lay: lay laid laying
retire: retire retired retiring
feed: feeding fed feed
slay: slay slaying slain
assure: assured assure assuring
warp: warped warp warping
wound: wounds wound wounded
wheel: wheeling wheel wheeled
rush: rushed rushing rush
shade: shaded shading shade
run: run running ran
drink: drinking drink drunk
finish: finish finishing finished
coat: coated coating coat
ski: skiing ski skied
slice: sliced slice slicing
sole: soles soler sole
traverse: traversing traverse traversed
clean: cleaner cleaning clean
snap: snapping snaps snap
wash: washing wash washed
train: training train trained
earn: earnings earn earning
scar: scarred scar scarring
lime: lime limes liming
swing: swinging swing swung
mat: mat matted mating
sail: sail sailing sailed
slip: slipping slipped slip
alarm: alarm alarming alarmed
seal: sealed sealing seal
coil: coiling coil coiled
blend: blend blending blended
stock: stocking stocks stock
blame: blamed blame blaming
sack: sacking sacked sack
deserve: deserving deserve deserved
border: bordering border bordered
engage: engaged engage engaging
screen: screened screening screen
dip: dipping dip dipped
rat: rat rated rating
roll: rolled roll rolling
wish: wish wished wishing
proceed: proceeds proceeding proceed
pant: panting pants pant
dart: darts dart darting
worry: worried worrying worry
sit: sit sat sitting
ride: rode ridden ride
fight: fighting fight fought
sell: selling sold sell
handle: handle handling handled
chip: chipping chip chips
undertake: undertaking undertook undertake
rattle: rattle rattles rattled
boot: boots booting boot
bury: buried burying bury
slash: slashed slash slashing
sport: sporting sports sport
curl: curled curling curl
seat: seating seated seat
breed: bred breed breeding
cup: cupping cupped cup
shore: shored shoring shore
poll: polling poll polled
subdue: subdued subduing subdue
partition: partitioned partition partitioning
ally: allied ally allies
fold: fold folding folded
unfold: unfolding unfolded unfold
guard: guarded guarding guard
swear: swore sworn swear
ship: shipped shipping ship
bridle: bridled bridle bridling
ramp: ramp ramping ramped
score: score scoring scored
bleach: bleaching bleach bleached
fringe: fringed fringing fringe
rid: rid ridding riding
flank: flank flanking flanked
withdraw: withdraw withdrawn withdrawing
dive: dove dive diving
dwell: dwelt dwelling dwell
squat: squatting squatted squatter
beat: beaten beat beating
brush: brush brushed brushing
paddle: paddling paddled paddle
brace: braces brace bracing
bead: beaded bead beading
frighten: frighten frightening frightened
weave: woven weave weaving
weep: weeps weeping weep
admire: admiring admire admired
cleave: cleave cleft clove
forge: forging forged forge
dress: dress dressing dressed
sew: sew sewing sewn
scratch: scratch scratching scratches
graft: grafted graft grafting
pounce: pounced pouncing pounce
crouch: crouched crouching crouch
stag: staged stag staging
heat: heating heat
produce: produce produced
isolate: isolated isolate
license: license licensed
pass: pass passing
dredge: dredge dredging
acquire: acquire acquired
dominate: dominate dominated
ca: ca cass
water: water watering
die: die dying
proportion: proportioned proportion
winter: wintering winter
nebula: nebulae nebula
house: house housing
u: u us
diverge: diverging diverge
common: common commons
glow: glowing glow
surface: surfacing surface
center: centered center
set: setting set
hypothesis: hypothesis hypotheses
loop: looping loop
practice: practiced practice
effect: effect effects
date: dating date
suggest: suggest suggesting
cycle: cycle cycling
great: greater great
sample: sampling sample
detail: detail detailed
retain: retaining retain
joint: jointed joint
listen: listen listening
rock: rock rocking
day: day days
experiment: experimented experiment
strange: strange stranger
adopt: adopt adopted
root: rooted root
render: rendering render
sharp: sharper sharp
west: west wester
low: low lower
statistic: statistic statistics
punch: punch punching
discover: discovered discover
triple: triple tripling
wise: wiser wise
hawk: hawk hawking
use: use used
tend: tending tend
gap: gap gaping
dissipate: dissipated dissipate
abort: abort aborted
model: modeling model
exact: exact exacting
c: cest c
spectrum: spectrum spectra
increase: increase increasing
determine: determined determine
uniform: uniformed uniform
less: less lesser
speed: speeding speed
graphic: graphic graphics
heaven: heavens heaven
subject: subject subjected
culture: culture cultured
title: titled title
darken: darken darkening
weight: weighted weight
journey: journey journeying
vary: varied vary
experience: experience experienced
short: shorter short
l: lest l
stone: stoned stone
dynamic: dynamics dynamic
lower: lowering lower
shock: shocking shock
half: half halves
core: coring core
revolve: revolve revolving
faint: faint fainter
look: looking look
flow: flowing flow
torque: torque torques
survive: survive surviving
fuse: fused fuse
direct: directed direct
slide: slide sliding
approach: approaching approach
heart: heart hearts
even: even evening
remain: remains remain
study: studied study
medium: medium media
solo: solo soli
corona: corona coronae
right: right righter
old: old older
sculpture: sculpture sculptured
state: stated state
account: accounting account
flash: flashing flash
radius: radius radii
phrase: phrase phrasing
compose: compose composed
cold: cold colder
eye: eye eyed
layer: layer layered
wave: wave waving
sol: soles sol
move: moving move
brother: brethren brother
trace: tracing trace
compensate: compensating compensate
accelerate: accelerate accelerated
tie: tie tied
wrinkle: wrinkled wrinkle
sky: sky skies
win: winning win
ray: rayed ray
condition: condition conditioned
name: name naming
spread: spread spreading
equilibrium: equilibrium equilibria
climb: climbing climb
project: projecting project
suffer: suffering suffer
ra: ra ras
correspond: correspond corresponding
permit: permitted permit
smooth: smooth smoother
converge: converge converging
structure: structure structured
disperse: dispersed disperse
search: searching search
do: done dos
bird: birding bird
analysis: analyses analysis
synthesis: syntheses synthesis
hide: hide hidden
miss: missing miss
sort: sort sorted
staff: staff staffed
mind: minding mind
select: select selected
hot: hot hotter
cause: cause causing
post: posted post
way: ways way
animate: animated animate
maximum: maximum maxima
impact: impacted impact
drop: dropping drop
aesthetic: aesthetic aesthetics
brown: brown browning
millennium: millennia millennium
press: press pressing
din: dining din
flatten: flattening flatten
quantum: quantum quanta
nucleus: nuclei nucleus
read: reading read
record: record recording
stem: stem stemming
result: resulting result
la: las la
return: return returned
chase: chasing chase
gas: gas gassing
help: helping help
shed: shedding shed
continue: continue continued
follow: following follow
oscillate: oscillate oscillating
explain: explain explaining
sacrifice: sacrifice sacrificing
accord: according accord
frost: frosted frost
yellow: yellow yellows
order: order ordered
apex: apex apices
correlate: correlated correlate
regard: regard regarding
front: front fronting
near: near nearest
lot: lots lot
million: millions million
celebrate: celebrated celebrate
fragment: fragment fragmented
book: book booking
cook: cooking cook
belong: belong belonging
define: defined define
phase: phases phase
minimum: minimum minima
induce: induce induced
debate: debating debate
resolve: resolve resolved
far: far farther
level: level leveling
picture: pictured picture
associate: associate associated
lee: lee lees
e: es e
open: open opening
offer: offering offer
expose: expose exposed
beard: beard bearded
note: note noted
el: el els
relate: related relate
position: position positioned
flame: flaming flame
target: targeted target
spur: spurred spur
transform: transform transforming
interfere: interfere interfering
register: register registered
small: small smaller
environ: environ environs
field: fielded field
survey: survey surveying
include: include included
full: full fuller
feature: featured feature
bring: brought bring
phenomenon: phenomena phenomenon
air: air airing
chain: chain chained
push: pushing push
repeat: repeated repeat
figure: figured figure
involve: involve involved
perfect: perfect perfected
metric: metrics metric
value: value valued
decay: decayed decay
decrease: decrease decreasing
hold: hold holding
dot: dotted dot
distress: distress distressing
filter: filter filtering
main: main mains
simple: simpler simple
outline: outline outlined
red: red redder
green: greening green
detach: detach detached
rest: resting rest
optic: optics optic
power: powered power
pair: pair paired
table: table tables
track: tracked track
damage: damage damages
jean: jean jeans
reach: reaching reach
cast: cast casting
intend: intended intending
observe: observing observe
young: younger young
trigger: trigger triggered
split: split splitting
start: start starting
stadium: stadia stadium
last: lasting last
depend: depend depending
apply: applied apply
suppose: supposed suppose
night: nights night
glare: glaring glare
concentrate: concentrated concentrate
support: support supporting
quiet: quieter quiet
serve: serving serve
found: found founding
derive: derived derive
employ: employed employ
tint: tinted tint
match: match matching
posse: possess posse
treat: treat treating
foot: foot footing
surprise: surprising surprise
shin: shin shining
tackle: tackling tackle
elongate: elongate elongated
soil: soiling soil
formula: formulae formula
divine: divine diviner
decline: decline declined
chart: chart charting
engineer: engineering engineer
collect: collect collected
hood: hood hooded
accept: accept accepted
inform: inform informed
act: act acting
protect: protecting protect
establish: establish established
son: son sons
blood: blood blooded
uplift: uplift uplifted
depart: depart departed
mix: mixed mix
fault: fault faulting
regulate: regulated regulate
notch: notch notched
unify: unify unified
slow: slow slows
walk: walking walk
season: season seasoning
hear: hearing hear
float: floating float
tilt: tilting tilt
shift: shifting shift
addendum: addendum addenda
boat: boating boat
doubt: doubt doubting
surge: surge surging
powder: powdered powder
govern: governing govern
race: racing race
crystallize: crystallized crystallize
school: school schooling
horn: horn horned
row: rowing row
morning: morning mornings
ward: warding ward
persist: persist persisting
blanket: blanketed blanket
ascend: ascending ascend
accomplish: accomplish accomplished
call: calling call
pertain: pertaining pertain
seem: seeming seem
churn: churn churning
hunt: hunting hunt
explore: exploring explore
ban: ban banning
fine: fine finer
wall: walled wall
spell: spelling spell
ephemeris: ephemerides ephemeris
octopus: octopi octopus
encourage: encouraging encourage
specie: specie species
trip: trip tripping
analyse: analyses analyse
smell: smelling smell
express: expressed express
er: er ers
appendix: appendix appendices
wax: wax waxing
elevate: elevated elevating
glass: glasses glass
wander: wander wandering
brain: brain brains
mantle: mantle mantling
leap: leap leaping
confuse: confused confuse
issue: issue issuing
thrust: thrust thrusting
believe: believing believe
consolidate: consolidated consolidate
sense: sense sensed
plant: plant planting
criterion: criterion criteria
enhance: enhance enhanced
team: team teaming
prefix: prefix prefixed
operate: operate operating
course: coursing course
add: add added
mirror: mirrored mirror
foster: foster fostering
hand: hand handed
multiply: multiplying multiply
restrict: restricted restrict
carve: carving carve
thesis: thesis theses
promise: promising promise
bound: bound bounded
spirit: spirit spirited
crisis: crisis crises
coin: coining coin
yield: yielding yield
narrow: narrower narrow
charge: charging charge
fan: fan fanning
resist: resist resisting
advertise: advertise advertising
smear: smear smeared
extract: extract extracted
compress: compressed compress
curve: curved curve
plain: plain plainer
bottom: bottoming bottom
suck: suck sucking
exceed: exceed exceeding
da: da das
rule: ruling rule
distort: distort distorted
exclude: excluding exclude
enlarge: enlarged enlarge
pose: pose posing
deform: deformed deform
vertex: vertices vertex
receive: receive received
abandon: abandon abandoned
price: price priced
cone: cones cone
con: cones con
display: display displayed
ba: ba bas
delay: delay delaying
enter: entering enter
box: box boxing
brighten: brighten brightening
sum: sum summed
radiate: radiated radiate
disappear: disappear disappearing
host: hosting host
hard: hard harder
suspect: suspect suspected
symposium: symposia symposium
distribute: distribute distributed
fail: failing fail
generate: generate generating
bleed: bleed bleeding
aurora: aurorae aurora
clock: clock clocked
stream: streaming stream
trail: trailing trail
manner: manner manners
happen: happen happening
comprise: comprise comprised
colloquium: colloquia colloquium
batter: batter battered
contract: contract contracted
boil: boiled boiling
ax: axes ax
visit: visiting visit
sweat: sweating sweat
disagree: disagree disagreed
decide: decided decide
drift: drifting drift
vote: vote voting
inhabit: inhabited inhabit
mouse: mouse mice
declare: declare declared
knock: knock knocking
os: os ora
occult: occult occulting
join: joining join
codex: codices codex
cut: cutting cut
examine: examine examining
forecast: forecasting forecast
whale: whale whaling
flat: flatter flat
amaze: amazed amazing
wild: wild wilder
cable: cable cabled
appeal: appeal appealing
accommodate: accommodating accommodate
tire: tire tired
fashion: fashioned fashion
antenna: antennae antenna
grasp: grasping grasp
pan: panning pan
reconcile: reconciling reconcile
sift: sifted sifting
conclude: concluding conclude
grapple: grappling grapple
organize: organize organized
hook: hook hooked
gun: gun gunning
vibrate: vibrate vibrating
trick: trick tricking
replicate: replicated replicate
speck: specks speck
stun: stun stunning
talk: talking talk
manifest: manifested manifest
anchor: anchor anchored
prefer: prefer preferred
balloon: ballooning balloon
incorporate: incorporated incorporate
blaze: blaze blazing
park: park parking
rip: ripping rip
milk: milking milk
crux: cruces crux
pronounce: pronounced pronounce
unbind: unbind unbound
crowd: crowded crowd
salt: salt salted
alternate: alternate alternating
precede: preceding precede
pitch: pitch pitching
acknowledge: acknowledged acknowledge
peel: peeled peel
connect: connect connected
westward: westward westwards
swift: swifter swift
vortex: vortices vortex
ripple: rippling ripple
happy: happy happier
brood: brood brooding
ellipsis: ellipsis ellipses
tale: tale tales
drum: drum drumming
neighbor: neighbor neighboring
polytechnic: polytechnics polytechnic
reconstruct: reconstruct reconstructed
conflict: conflicting conflict
extinguish: extinguish extinguished
reserve: reserve reserved
stratum: stratum strata
desert: desert deserted
dissect: dissected dissecting
diffuse: diffused diffuse
enlighten: enlighten enlightened
nurse: nurse nursing
rich: rich riches
love: loving love
mask: masked mask
corp: corps corp
inflate: inflated inflate
game: gaming game
corner: cornered corner
pure: pure purer
assign: assign assigned
descend: descend descending
leaf: leaf leaves
papyrus: papyrus papyri
penny: pence penny
condense: condensed condense
gore: goring gore
stroke: stroke stroking
pale: paler pale
engrave: engraved engraving
shut: shut shutting
mediate: mediate mediating
suppress: suppress suppressed
decompose: decompose decomposed
foam: foam foaming
stamp: stamping stamp
disorder: disorder disordered
bowl: bowls bowl
copy: copy copied
squeeze: squeeze squeezing
charm: charming charm
disconnect: disconnect disconnected
steam: steaming steam
aim: aiming aim
halve: halved halves
intrigue: intriguing intrigue
bank: bank banking
acoustic: acoustic acoustics
synopsis: synopses synopsis
hop: hoped hop
lick: licking lick
scaffold: scaffolding scaffold
chamber: chambered chamber
forest: forested forest
aba: abas aba
gather: gather gathering
demand: demand demanding
spy: spied spy
consume: consuming consume
squabble: squabble squabbling
sander: sanders sander
murder: murder murdering
loose: loose looser
counteract: counteracting counteract
elf: elf elves
gin: gin gan
compound: compounding compound
wreck: wrecking wreck
broke: broke broker
erratum: erratum errata
cost: costing cost
dilute: diluted dilute
fry: fried fry
upset: upsetting upset
pink: pinker pink
condemn: condemned condemn
awaken: awakening awaken
prepare: prepared prepare
warn: warning warn
suspend: suspend suspended
flower: flower flowering
rectify: rectify rectified
praise: praising praise
digest: digest digested
bore: boring bore
custom: customs custom
hydrate: hydrated hydrate
cirrus: cirri cirrus
twitter: twitter twittering
welcome: welcome welcoming
insulate: insulated insulating
plumb: plumb plumbing
vesper: vesper vespers
hover: hovering hover
wither: withers withered
compromise: compromising compromise
highland: highland highlander
laugh: laughing laugh
voice: voiced voice
polish: polished polish
scan: scanning scan
menace: menacing menace
steep: steep steeper
shoulder: shoulder shouldered
street: streets street
beg: begging beg
heal: healing heal
kick: kick kicking
enrich: enrich enriching
bloom: blooming bloom
strain: strained strain
chirp: chirp chirping
segment: segment segmented
tour: tour touring
sprinkle: sprinkle sprinkled
overlay: overlaid overlay
mild: milder mild
bust: busted bust
bat: bat bats
par: par paring
forty: forties forty
shuffle: shuffling shuffle
distract: distracted distract
hind: hinder hind
scrap: scrap scrapped
brew: brewing brew
gen: gens gen
fleet: fleet fleeting
justify: justify justifying
owe: owing owe
ease: ease easing
admit: admit admitted
scoop: scooped scoop
notify: notify notified
collar: collared collar
bath: bathing bath
civilize: civilized civilize
endorse: endorse endorsed
plague: plagued plague
insert: insert inserted
recur: recur recurring
assess: assess assessed
ass: assess ass
improve: improve improving
sow: sowing sow
poison: poison poisoning
ani: anis ani
please: please pleasing
scramble: scrambling scramble
investigate: investigating investigate
vanish: vanishing vanish
pick: pick picked
mess: mess messing
kill: kill killing
misunderstand: misunderstood misunderstanding
feel: feel feeling
rope: ropes rope
cleanse: cleanse cleansing
fear: feared fear
ante: ante antes
attach: attached attach
infect: infected infect
revere: revered revere
standardize: standardized standardize
weaken: weaken weakening
struggle: struggling struggle
foretell: foretold foretell
twinkle: twinkling twinkle
shop: shopping shop
pray: pray praying
soak: soak soaked
