li: lis liss li
seek: seek sought seeking
favor: favoring favored favor
absorb: absorbed absorb absorbing
calculate: calculate calculated calculating
stand: standing stand stood
deserve: deserved deserving deserve
ally: allies ally allied
range: ranged range ranging
bury: buried burying bury
group: grouping group grouped
bind: bind bound binding
sail: sailed sail sailing
fish: fished fish fishing
step: stepped stepping step
bed: bedding bed bedded
live: living live lived
form: forming formed form
late: later latest late
mine: mines mining mine
coil: coiled coiling coil
fire: fired firing fire
see: seeing see seen
print: printing print printed
refract: refracting refracted refract
illuminate: illuminate illuminating illuminated
real: real reales reis
sew: sewing sew sewn
band: banded band banding
begin: beginning begin begun
assure: assuring assure assured
build: building build built
interest: interest interested interesting
wake: wake waking wakes
class: classed class classes
dip: dip dipping dipped
reveal: revealing revealed reveal
dwell: dwelt dwelling dwell
finish: finishing finished finish
sell: sold sell selling
divide: divided divide dividing
partition: partitioning partition partitioned
grind: grinding grind ground
cross: crossing crossed cross
boot: booting boot boots
stay: stayed stay stays
rat: rated rat rating
block: blocking blocked block
settle: settle settling settled
edge: edge edging edged
possess: possessing possessed possess
earn: earnings earning earn
spring: sprung spring springing
weep: weep weeping weeps
forge: forged forging forge
mount: mounted mounting mount
flood: flooding flooded flood
meet: meet met meeting
limit: limit limited limiting
wound: wounds wounded wound
back: back backing backed
separate: separate separating separates
entangle: entangled entangling entangle
equal: equalling equal equaling
snap: snaps snap snapping
web: web webbed webbing
force: force forced forcing
crack: cracked crack cracking
weave: weaving weave woven
reflect: reflecting reflect reflected
line: lining line lined
test: test testing tested
brush: brushing brush brushed
poll: polled poll polling
inspire: inspire inspired inspiring
combine: combined combining combine
unveil: unveil unveiled unveiling
bill: billed billing bill
expand: expand expanding expanded
branch: branching branched branch
slay: slay slaying slain
ice: ice iced icing
twist: twisting twist twisted
catch: catching catch caught
peak: peaked peak peaking
unite: unite united uniting
scatter: scattered scattering scatter
big: bigger big biggest
convert: converted converting convert
show: showing shown show
circle: circle circled circling
star: starring staring star
blow: blowing blow blown
pile: pile piles piling
sustain: sustain sustaining sustained
channel: channel channeled channeling
withdraw: withdrawn withdrawing withdraw
cup: cup cupping cupped
still: stilling still stiller
pounce: pounce pouncing pounced
fast: faster fast fasting
paddle: paddling paddled paddle
well: well better welling
tip: tipped tipping tip
pant: panting pant pants
lose: lost losing lose
need: needs need needing
blast: blasting blasted blast
squat: squatter squatting squatted
mark: marking marked mark
lie: lying lie lain
puzzle: puzzled puzzle puzzling
string: string stringed strung
wire: wiring wire wired
age: aging aged age
sit: sit sat sitting
clean: cleaning clean cleaner
gain: gain gaining gains
shield: shield shielded shielding
wrap: wrapped wrapping wrap
dog: dogs dog dogged
blame: blame blaming blamed
wan: waning wan waned
dim: dimmer dimmed dim
bridle: bridle bridled bridling
cleave: cleave cleft clove
become: become becoming becomes
feed: fed feeding feed
wither: withered withers
spectacle: spectacles spectacle
attach: attach attached
foretell: foretell foretold
nebula: nebulae nebula
fetch: fetched fetch
position: positioned position
dispose: dispose disposed
full: fuller full
act: acting act
stadium: stadia stadium
trace: trace tracing
thesis: theses thesis
disagree: disagreed disagree
loom: looming loom
desire: desired desire
induce: induced induce
crux: crux cruces
simple: simple simpler
book: book booking
miss: miss missing
darken: darkening darken
sculpture: sculpture sculptured
stroke: stroking stroke
incorporate: incorporate incorporated
addendum: addendum addenda
enlarge: enlarge enlarged
rupture: ruptured rupture
tunnel: tunnel tunneling
unbind: unbind unbound
upset: upsetting upset
maximum: maximum maxima
testis: testis testes
manner: manner manners
howl: howling howl
snort: snorting snort
bronchus: bronchi bronchus
encourage: encourage encouraging
flame: flaming flame
survive: surviving survive
million: millions million
gore: goring gore
win: winning win
spur: spurred spur
note: note noted
course: course coursing
moor: mooring moor
define: defined define
stamp: stamp stamping
kill: kill killing
formula: formula formulae
quarry: quarrying quarry
hear: hear hearing
hang: hanging hung
blood: blood blooded
thrive: thriving thrive
hum: hum humming
shelter: shelter sheltered
culture: culture cultured
promise: promising promise
metric: metrics metric
communicate: communicate communicating
heaven: heavens heaven
prepare: prepared prepare
field: field fielded
walk: walk walking
laugh: laugh laughing
saddle: saddled saddle
tie: tie tied
insulate: insulating insulated
order: ordered order
name: naming name
flute: fluted flute
hook: hook hooked
elevate: elevated elevating
foot: footing foot
isolate: isolated isolate
sneeze: sneezing sneeze
murder: murdering murder
trumpet: trumpeting trumpet
teen: teens teen
enlighten: enlightened enlighten
boat: boat boating
glass: glasses glass
power: powered power
chase: chase chasing
sled: sled sledding
stunt: stunt stunted
scramble: scrambling scramble
demand: demanding demand
fruit: fruiting fruit
os: ora os
want: want wanting
tag: tag tagged
bottle: bottled bottle
disable: disabled disable
advise: advised advise
aurora: aurora aurorae
grapple: grapple grappling
browse: browse browsing
bowl: bowls bowl
heat: heat heating
grip: grip gripping
afternoon: afternoons afternoon
whale: whale whaling
curve: curve curved
practice: practice practiced
accommodate: accommodating accommodate
trouser: trousers trouser
condemn: condemn condemned
root: root rooted
urge: urging urge
confuse: confused confuse
stimulus: stimuli stimulus
suggest: suggesting suggest
small: small smaller
carolus: caroli carolus
apex: apex apices
heart: heart hearts
tarsus: tarsi tarsus
buy: buy bought
vomit: vomit vomiting
chamber: chambered chamber
start: starting start
hiss: hissing hiss
date: date dating
detail: detail detailed
spectrum: spectrum spectra
fare: fare faring
market: market marketing
compound: compounding compound
chart: chart charting
appeal: appealing appeal
ruin: ruin ruined
far: far farther
broke: broke broker
charter: charter chartered
blanket: blanketed blanket
